ApplNo	ApplType	ApplPublicNotes	SponsorName
000004	NDA		PHARMICS
000159	NDA		LILLY
000552	NDA		ORGANON USA INC
000734	NDA		LILLY
000793	NDA		MYLAN SPECIALITY LP
001104	NDA		ORGANON USA INC
001504	NDA		THE VERARD COMPANY
001546	NDA		MERCK SHARP DOHME
002139	NDA		LILLY
002282	NDA		ISO TEX
002386	NDA		GD SEARLE LLC
002918	NDA		POYTHRESS
003158	NDA		SCHERING
003240	NDA		NOVARTIS
003402	NDA		PARKE DAVIS
003444	NDA		VALIDUS PHARMS
003718	NDA		ROCHE
003977	NDA		PARKEDALE
004039	NDA		LILLY
004040	NDA		LILLY
004041	NDA		LILLY
004054	NDA		LEDERLE
004056	NDA		BRISTOL MYERS SQUIBB
004122	NDA		LILLY
004125	NDA		ABBVIE
004570	NDA		PHARMACIA AND UPJOHN
004589	NDA		B BRAUN
004782	NDA		WYETH PHARMS
005010	NDA		VALIDUS PHARMS
005151	NDA		NOVARTIS
005213	NDA		GENUS
005264	NDA		HOSPIRA
005292	NDA		SCHERING
005319	NDA		ALCON
005378	NDA		RECORDATI RARE
005490	NDA		ORGANON USA INC
005509	NDA		LILLY
005521	NDA		LILLY
005545	NDA		ABBVIE
005619	NDA		MERCK
005620	NDA		MERCK
005657	NDA		BRISTOL MYERS SQUIBB
005691	NDA		MEDPOINTE PHARM HLC
005725	NDA		LILLY
005794	NDA		ORTHO MCNEIL PHARM
005795	NDA		SHIRE
005845	NDA		MCNEIL CONS
005856	NDA		ABBVIE
005897	NDA		WYETH PHARMS INC
005914	NDA		NOVARTIS
005929	NDA		BAUSCH
005932	NDA		ABBVIE
005939	NDA		AKORN
005963	NDA		SCHERING
005970	NDA		ELKINS SINN
006002	NDA		SANOFI AVENTIS US
006008	NDA		NOVARTIS
006012	NDA		LEDERLE
006035	NDA		EDISON THERAPS LLC
006044	NDA		ABBVIE
006071	NDA		ROCHE
006095	NDA		HOSPIRA
006110	NDA		ORTHO MCNEIL PHARM
006134	NDA		HIKMA
006135	NDA		LILLY
006146	NDA		MCNEIL CONS
006170	NDA		B BRAUN
006188	NDA		DAVA PHARMS INC
006203	NDA		NOVARTIS
006213	NDA		LILLY
006270	NDA		ARBROOK
006309	NDA		REED AND CARNRICK
006317	NDA		LILLY
006325	NDA		LILLY
006327	NDA		SANOFI AVENTIS US
006328	NDA		SANOFI AVENTIS US
006333	NDA		CENT PHARMS
006383	NDA		MALLINCKRODT INC
006403	NDA		NOVARTIS
006412	NDA		SANOFI AVENTIS US
006441	NDA		PARKE DAVIS
006459	NDA		LEDERLE
006460	NDA		LILLY
006470	NDA		LILLY
006488	NDA		FRESENIUS KABI USA
006514	NDA		PARKE DAVIS
006525	NDA		ROCHE
006530	NDA		MYLAN SPECIALITY LP
006536	NDA		ODYSSEY PHARMS
006580	NDA		MCGAW
006620	NDA		NOVARTIS
006632	NDA		LILLY
006668	NDA		MERCK
006695	NDA		RECORDATI RARE
006772	NDA		GLAXOSMITHKLINE
006773	NDA		LEDERLE
006798	NDA		PHARMACIA AND UPJOHN
006799	NDA		BRISTOL MYERS SQUIBB
006800	NDA		ABBVIE
006811	NDA		PANRAY
006823	NDA		CASPER PHARMA LLC
006882	NDA		SANOFI AVENTIS US
006904	NDA		BRISTOL MYERS SQUIBB
006905	NDA		ABBVIE
006917	NDA		ROCHE
006920	NDA		LEDERLE
006921	NDA		SCHERING
006927	NDA		JOURNEY
006931	NDA		GLAXOSMITHKLINE
007012	NDA		BAYER HLTHCARE
